#label,component_name,tag,footprint,vendor
######## resistance ########,,,,
mosfet,2SK3544,n,,
mosfet,2SK3561,n,,
mosfet,2SK3562,n,,
mosfet,2SK3563,n,,
mosfet,2SK3564,n,,
mosfet,2SK3565,n,,
mosfet,2SK3566,n,,
mosfet,2SK3567,n,,
mosfet,2SK3568,n,,
mosfet,2SK3569,n,,
mosfet,2SK3633,n,,
mosfet,2SK3667,n,,
mosfet,2SK3700,n,,
mosfet,2SK3742,n,,
mosfet,2SK3767,n,,
mosfet,2SK3797,n,,
mosfet,2SK3798,n,,
mosfet,2SK3799,n,,
mosfet,2SK3842,n,,
mosfet,2SK3843,n,,
mosfet,2SK3878,n,,
mosfet,2SK3880,n,,
mosfet,2SK3934,n,,
mosfet,2SK3940,n,,
mosfet,2SK3947,n,,
mosfet,2SK4012,n,,
mosfet,2SK4013,n,,
mosfet,2SK4014,n,,
mosfet,2SK4017,n,,
mosfet,2SK4033,n,,
mosfet,2SK4034,n,,
mosfet,2SK4115,n,,
mosfet,2SK4207,n,,
mosfet,SSM3K01F,n,,
mosfet,SSM3K01T,n,,
mosfet,SSM3K09FU,n,,
mosfet,SSM3K104TU,n,,
mosfet,SSM3K106TU,n,,
mosfet,SSM3K116TU,n,,
mosfet,SSM3K119TU,n,,
mosfet,SSM3K121TU,n,,
mosfet,SSM3K122TU,n,,
mosfet,SSM3K123TU,n,,
mosfet,SSM3K124TU,n,,
mosfet,SSM3K127TU,n,,
mosfet,SSM3K131TU,n,,
mosfet,SSM3K15ACT,n,,
mosfet,SSM3K15AFS,n,,
mosfet,SSM3K15AFU,n,,
mosfet,SSM3K15AMFV,n,,
mosfet,SSM3K15CT,n,,
mosfet,SSM3K15FS,n,,
mosfet,SSM3K15FU,n,,
mosfet,SSM3K15F,n,,
mosfet,SSM3K16CT,n,,
mosfet,SSM3K16FS,n,,
mosfet,SSM3K16FU,n,,
mosfet,SSM3K16FV,n,,
mosfet,SSM3K17FU,n,,
mosfet,SSM3K301T,n,,
mosfet,SSM3K302T,n,,
mosfet,SSM3K303T,n,,
mosfet,SSM3K309T,n,,
mosfet,SSM3K310T,n,,
mosfet,SSM3K315T,n,,
mosfet,SSM3K316T,n,,
mosfet,SSM3K318T,n,,
mosfet,SSM3K320T,n,,
mosfet,SSM3K324R,n,,
mosfet,SSM3K329R,n,,
mosfet,SSM3K333R,n,,
mosfet,SSM3K335R,n,,
mosfet,SSM3K336R,n,,
mosfet,SSM3K337R,n,,
mosfet,SSM3K35CT,n,,
mosfet,SSM3K35FS,n,,
mosfet,SSM3K35MFV,n,,
mosfet,SSM3K36FS,n,,
mosfet,SSM3K36MFV,n,,
mosfet,SSM3K36TU,n,,
mosfet,SSM3K37CT,n,,
mosfet,SSM3K37FS,n,,
mosfet,SSM3K37MFV,n,,
mosfet,SSM3K43FS,n,,
mosfet,SSM3K44FS,n,,
mosfet,SSM3K44MFV,n,,
mosfet,SSM3K48FU,n,,
mosfet,SSM3K56CT,n,,
mosfet,SSM3K56FS,n,,
mosfet,SSM3K56MFV,n,,
mosfet,SSM3K7002AFU,n,,
mosfet,SSM3K7002BFS,n,,
mosfet,SSM3K7002BFU,n,,
mosfet,SSM3K7002BF,n,,
mosfet,SSM3K7002FU,n,,
mosfet,SSM3K7002F,n,,
mosfet,SSM4K27CT,n,,
mosfet,SSM6K202FE,n,,
mosfet,SSM6K203FE,n,,
mosfet,SSM6K204FE,n,,
mosfet,SSM6K208FE,n,,
mosfet,SSM6K210FE,n,,
mosfet,SSM6K211FE,n,,
mosfet,SSM6K22FE,n,,
mosfet,SSM6K24FE,n,,
mosfet,SSM6K25FE,n,,
mosfet,SSM6K30FE,n,,
mosfet,SSM6K31FE,n,,
mosfet,SSM6K403TU,n,,
mosfet,SSM6K404TU,n,,
mosfet,SSM6K405TU,n,,
mosfet,SSM6K406TU,n,,
mosfet,SSM6K407TU,n,,
mosfet,SSM6K411TU,n,,
mosfet,SSM6K504NU,n,,
mosfet,TK100A06N1,n,,
mosfet,TK100A08N1,n,,
mosfet,TK100A10N1,n,,
mosfet,TK100E06N1,n,,
mosfet,TK100E08N1,n,,
mosfet,TK100E10N1,n,,
mosfet,TK100F04K3L,n,,
mosfet,TK100F04K3,n,,
mosfet,TK100F06K3,n,,
mosfet,TK100L60W,n,,
mosfet,TK100S04N1L,n,,
mosfet,TK10A50D,n,,
mosfet,TK10A55D,n,,
mosfet,TK10A60D,n,,
mosfet,TK10A60W,n,,
mosfet,TK10E60W,n,,
mosfet,TK10P60W,n,,
mosfet,TK10Q60W,n,,
mosfet,TK10S04K3L,n,,
mosfet,TK10X40D,n,,
mosfet,TK11A45D,n,,
mosfet,TK11A50D,n,,
mosfet,TK11A55D,n,,
mosfet,TK11A60D,n,,
mosfet,TK11A65D,n,,
mosfet,TK12A10K3,n,,
mosfet,TK12A45D,n,,
mosfet,TK12A50D,n,,
mosfet,TK12A53D,n,,
mosfet,TK12A55D,n,,
mosfet,TK12A60D,n,,
mosfet,TK12A60U,n,,
mosfet,TK12A60W,n,,
mosfet,TK12A65D,n,,
mosfet,TK12E60U,n,,
mosfet,TK12E60W,n,,
mosfet,TK12J55D,n,,
mosfet,TK12J60U,n,,
mosfet,TK12J60W,n,,
mosfet,TK12P60W,n,,
mosfet,TK12Q60W,n,,
mosfet,TK12X53D,n,,
mosfet,TK130F06K3,n,,
mosfet,TK13A25D,n,,
mosfet,TK13A45D,n,,
mosfet,TK13A50DA,n,,
mosfet,TK13A50D,n,,
mosfet,TK13A55DA,n,,
mosfet,TK13A60D,n,,
mosfet,TK13A65D,n,,
mosfet,TK13A65U,n,,
mosfet,TK13E25D,n,,
mosfet,TK13J65U,n,,
mosfet,TK13P25D,n,,
mosfet,TK14A45DA,n,,
mosfet,TK14A45D,n,,
mosfet,TK14A55D,n,,
mosfet,TK150F04K3L,n,,
mosfet,TK150F04K3,n,,
mosfet,TK15A20D,n,,
mosfet,TK15A50D,n,,
mosfet,TK15A60D,n,,
mosfet,TK15A60U,n,,
mosfet,TK15E60U,n,,
mosfet,TK15J50D,n,,
mosfet,TK15J60U,n,,
mosfet,TK16A45D,n,,
mosfet,TK16A55D,n,,
mosfet,TK16A60W5,n,,
mosfet,TK16A60W,n,,
mosfet,TK16C60W,n,,
mosfet,TK16E60W,n,,
mosfet,TK16G60W,n,,
mosfet,TK16J55D,n,,
mosfet,TK16J60W,n,,
mosfet,TK16N60W,n,,
mosfet,TK17A25D,n,,
mosfet,TK17A65U,n,,
mosfet,TK17J65U,n,,
mosfet,TK18A30D,n,,
mosfet,TK18A50D,n,,
mosfet,TK18E10K3,n,,
mosfet,TK19A45D,n,,
mosfet,TK19J55D,n,,
mosfet,TK1P90A,n,,
mosfet,TK1Q90A,n,,
mosfet,TK20A20D,n,,
mosfet,TK20A25D,n,,
mosfet,TK20A60U,n,,
mosfet,TK20A60W,n,,
mosfet,TK20C60W,n,,
mosfet,TK20E60W,n,,
mosfet,TK20G60W,n,,
mosfet,TK20J50D,n,,
mosfet,TK20J60W,n,,
mosfet,TK20N60W,n,,
mosfet,TK20P04M1,n,,
mosfet,TK20S04K3L,n,,
mosfet,TK20S06K3L,n,,
mosfet,TK22A10N1,n,,
mosfet,TK22E10N1,n,,
mosfet,TK25A10K3,n,,
mosfet,TK25A20D,n,,
mosfet,TK25E06K3,n,,
mosfet,TK2A65D,n,,
mosfet,TK2P60D,n,,
mosfet,TK2Q60D,n,,
mosfet,TK30A06N1,n,,
mosfet,TK30E06N1,n,,
mosfet,TK30S06K3L,n,,
mosfet,TK31A60W,n,,
mosfet,TK31E60W,n,,
mosfet,TK31J60W5,n,,
mosfet,TK31J60W,n,,
mosfet,TK31N60W,n,,
mosfet,TK32A12N1,n,,
mosfet,TK32E12N1,n,,
mosfet,TK34A10N1,n,,
mosfet,TK34E10N1,n,,
mosfet,TK35A08N1,n,,
mosfet,TK35E08N1,n,,
mosfet,TK35S04K3L,n,,
mosfet,TK39A60W,n,,
mosfet,TK39J60W5,n,,
mosfet,TK39J60W,n,,
mosfet,TK39N60W,n,,
mosfet,TK3A60DA,n,,
mosfet,TK3A65DA,n,,
mosfet,TK3A65D,n,,
mosfet,TK3P50D,n,,
mosfet,TK40A06N1,n,,
mosfet,TK40A08K3,n,,
mosfet,TK40A10K3,n,,
mosfet,TK40A10N1,n,,
mosfet,TK40E06N1,n,,
mosfet,TK40E10K3,n,,
mosfet,TK40E10N1,n,,
mosfet,TK40M60U,n,,
mosfet,TK40P03M1,n,,
mosfet,TK40P04M1,n,,
mosfet,TK40S10K3Z,n,,
mosfet,TK40X10J1,n,,
mosfet,TK42A12N1,n,,
mosfet,TK42E12N1,n,,
mosfet,TK45P03M1,n,,
mosfet,TK46A08N1,n,,
mosfet,TK46E08N1,n,,
mosfet,TK4A50D,n,,
mosfet,TK4A53D,n,,
mosfet,TK4A55DA,n,,
mosfet,TK4A55D,n,,
mosfet,TK4A60DA,n,,
mosfet,TK4A60DB,n,,
mosfet,TK4A60D,n,,
mosfet,TK4A65DA,n,,
mosfet,TK4P50D,n,,
mosfet,TK4P55DA,n,,
mosfet,TK4P55D,n,,
mosfet,TK4P60DA,n,,
mosfet,TK4P60DB,n,,
mosfet,TK4P60D,n,,
mosfet,TK4Q60DA,n,,
mosfet,TK50A04K3,n,,
mosfet,TK50E06K3A,n,,
mosfet,TK50F15J1,n,,
mosfet,TK50P03M1,n,,
mosfet,TK50P04M1,n,,
mosfet,TK50S04K3L,n,,
mosfet,TK50X15J1,n,,
mosfet,TK55S10N1,n,,
mosfet,TK56A12N1,n,,
mosfet,TK56E12N1,n,,
mosfet,TK58A06N1,n,,
mosfet,TK58E06N1,n,,
mosfet,TK5A45DA,n,,
mosfet,TK5A50D,n,,
mosfet,TK5A53D,n,,
mosfet,TK5A55D,n,,
mosfet,TK5A60D,n,,
mosfet,TK5A60W,n,,
mosfet,TK5A65DA,n,,
mosfet,TK5A65D,n,,
mosfet,TK5P50D,n,,
mosfet,TK5P53D,n,,
mosfet,TK5P60W,n,,
mosfet,TK5Q60W,n,,
mosfet,TK60P03M1,n,,
mosfet,TK60S06K3L,n,,
mosfet,TK62J60W,n,,
mosfet,TK62N60W,n,,
mosfet,TK65A10N1,n,,
mosfet,TK65E10N1,n,,
mosfet,TK65S04K3L,n,,
mosfet,TK6A45DA,n,,
mosfet,TK6A50D,n,,
mosfet,TK6A53D,n,,
mosfet,TK6A55DA,n,,
mosfet,TK6A60D,n,,
mosfet,TK6A60W,n,,
