品番,ライフサイクル,製品分類,内部接続,I<sub>F</sub>/I<sub>F(AV)</sub>/I<sub>O</sub> (Max) (A),V<sub>FM</sub> (Max) (V),V<sub>R</sub> (Max) (V),V<sub>RRM</sub> (Max) (V),C<sub>T</sub>/C<sub>j</sub> (Typ.)(pF),特長,回路数,ピン数,面実装区分,パッケージ名(Toshiba),,,,
"1SS377","","小信号ショットキバリアダイオード","カソードコモン","0.1","","10","","","低VF","2","3","Y","S-Mini",
"1SS378","","小信号ショットキバリアダイオード","カソードコモン","0.1","","10","","","低VF","2","3","Y","USM",
"1SS383","","小信号ショットキバリアダイオード","独立","0.1","","40","","","スタンダード","2","4","Y","USQ",
"1SS384","","小信号ショットキバリアダイオード","独立","0.1","","10","","","低VF","2","4","Y","USQ",
"1SS385FV","","小信号ショットキバリアダイオード","カソードコモン","0.1","","10","","","低VF","2","3","Y","VESM",
"1SS385","","小信号ショットキバリアダイオード","カソードコモン","0.1","","10","","","低VF","2","3","Y","SSM",
"1SS388","","小信号ショットキバリアダイオード","シングル","0.1","","40","","","スタンダード","","2","Y","ESC",
"1SS389","","小信号ショットキバリアダイオード","シングル","0.1","","10","","","低VF","","2","Y","ESC",
"1SS391","","小信号ショットキバリアダイオード","独立","0.1","","10","","","低VF","2","4","Y","SMQ",
"1SS392","","小信号ショットキバリアダイオード","カソードコモン","0.1","","40","","","スタンダード","2","3","Y","S-Mini",
"1SS393","","小信号ショットキバリアダイオード","カソードコモン","0.1","","40","","","スタンダード","2","3","Y","USM",
"1SS394","","小信号ショットキバリアダイオード","シングル","0.1","","10","","","低VF","","3","Y","S-Mini",
"1SS395","","小信号ショットキバリアダイオード","シングル","0.1","","10","","","低VF","","3","Y","USM",
"1SS396","","小信号ショットキバリアダイオード","シリーズ","0.1","","40","","","スタンダード","2","3","Y","S-Mini",
"1SS401","","小信号ショットキバリアダイオード","シングル","0.3","","20","","","低VF / 大電流","","3","Y","USM",
