品番,ライフサイクル,グループ,機能1,機能2,V<sub>CC</sub> (Min)(V),V<sub>CC</sub> (Max)(V),I<sub>O</sub> (Min)(mA),tpd_tpz (Typ.)(nsec),ピン数,面実装区分,パッケージ名(Toshiba),
"TC74HC597AF","","TC74HC","Shift Register","8-Bit Shift Register/Latch","2","6","4","16","16","Y","SOP16",
"TC74HC597AP","","TC74HC","Shift Register","8-Bit Shift Register/Latch","2","6","4","16","16","N","DIP16",
"TC74HC640AF","","TC74HC","Gate","Bus Transceiver","2","6","6","10","20","Y","SOP20",
"TC74HC640AP","","TC74HC","Gate","Bus Transceiver","2","6","6","10","20","N","DIP20",
"TC74HC670AF","","TC74HC","Shift Register","4-Word x 4-Bit Register File","2","6","4","23","16","Y","SOP16",
"TC74HC670AP","","TC74HC","Shift Register","4-Word x 4-Bit Register File","2","6","4","23","16","N","DIP16",
"TC74HC688AF","","TC74HC","Arithmetic Circuits","8-Bit Equality Comparator","2","6","4","17","20","Y","SOP20",
"TC74HC688AP","","TC74HC","Arithmetic Circuits","8-Bit Equality Comparator","2","6","4","17","20","N","DIP20",
"TC74HC697AF","","TC74HC","Counter","Binary Counter","2","6","6","24","20","Y","SOP20",
"TC74HC697AP","","TC74HC","Counter","Binary Counter","2","6","6","24","20","N","DIP20",
"TC74HC7240AF","","TC74HC","Gate","Bus Buffer","2","6","6","15","20","Y","SOP20",
"TC74HC7240AP","","TC74HC","Gate","Bus Buffer","2","6","6","15","20","N","DIP20",
"TC74HC7244AF","","TC74HC","Gate","Bus Buffer","2","6","6","15","20","Y","SOP20",
"TC74HC7244AP","","TC74HC","Gate","Bus Buffer","2","6","6","15","20","N","DIP20",
"TC74HC7266AF","","TC74HC","Gate","Exclusive-NOR","2","6","4","10","14","Y","SOP14",
"TC74HC7266AP","","TC74HC","Gate","Exclusive-NOR","2","6","4","10","14","N","DIP14",
"TC74HC7292AF","","TC74HC","Counter","Programmable Divider Timer","2","6","4","42","16","Y","SOP16",
"TC74HC7292AP","","TC74HC","Counter","Programmable Divider Timer","2","6","4","42","16","N","DIP16",
"TC74HC74AF","","TC74HC","Flip-Flop","D-Type Flip-Flop","2","6","4","13","14","Y","SOP14",
"TC74HC74AP","","TC74HC","Flip-Flop","D-Type Flip-Flop","2","6","4","13","14","N","DIP14",
"TC74HC85AF","","TC74HC","Arithmetic Circuits","Magnitude Comparator","2","6","4","22","16","Y","SOP16",
"TC74HC85AP","","TC74HC","Arithmetic Circuits","Magnitude Comparator","2","6","4","22","16","N","DIP16",
"TC74HC86AF","","TC74HC","Gate","Exclusive-OR","2","6","4","10","14","Y","SOP14",
"TC74HC86AP","","TC74HC","Gate","Exclusive-OR","2","6","4","10","14","N","DIP14",
"TC74HCT00AF","","TC74HCT","Gate","NAND","4.5","5.5","4","10","14","Y","SOP14",
"TC74HCT00AP","","TC74HCT","Gate","NAND","4.5","5.5","4","10","14","N","DIP14",
"TC74HCT02AF","","TC74HCT","Gate","NOR","4.5","5.5","4","9","14","Y","SOP14",
"TC74HCT02AP","","TC74HCT","Gate","NOR","4.5","5.5","4","9","14","N","DIP14",
"TC74HCT04AF","","TC74HCT","Gate","Inverter","4.5","5.5","4","8","14","Y","SOP14",
"TC74HCT04AP","","TC74HCT","Gate","Inverter","4.5","5.5","4","8","14","N","DIP14",
"TC74HCT08AF","","TC74HCT","Gate","AND","4.5","5.5","4","10","14","Y","SOP14",
"TC74HCT08AP","","TC74HCT","Gate","AND","4.5","5.5","4","10","14","N","DIP14",
"TC74HCT138AF","","TC74HCT","Decoder","3-to-8 Line Decoder","4.5","5.5","4","17","16","Y","SOP16",
"TC74HCT138AP","","TC74HCT","Decoder","3-to-8 Line Decoder","4.5","5.5","4","17","16","N","DIP16",
"TC74HCT139AF","","TC74HCT","Decoder","2-to-4 Line Decoder","4.5","5.5","4","17","16","Y","SOP16",
"TC74HCT139AP","","TC74HCT","Decoder","2-to-4 Line Decoder","4.5","5.5","4","17","16","N","DIP16",
"TC74HCT157AF","","TC74HCT","Multiplexer","2-Channel Multiplexer","4.5","5.5","4","21","16","Y","SOP16",
"TC74HCT157AP","","TC74HCT","Multiplexer","2-Channel Multiplexer","4.5","5.5","4","21","16","N","DIP16",
"TC74HCT174AF","","TC74HCT","Flip-Flop","D-Type Flip-Flop","4.5","5.5","4","29","16","Y","SOP16",
"TC74HCT174AP","","TC74HCT","Flip-Flop","D-Type Flip-Flop","4.5","5.5","4","29","16","N","DIP16",
"TC74HCT240AF","","TC74HCT","Gate","Bus Buffer","4.5","5.5","6","13","20","Y","SOP20",
"TC74HCT240AP","","TC74HCT","Gate","Bus Buffer","4.5","5.5","6","13","20","N","DIP20",
"TC74HCT244AF","","TC74HCT","Gate","Bus Buffer","4.5","5.5","6","13","20","Y","SOP20",
"TC74HCT244AP","","TC74HCT","Gate","Bus Buffer","4.5","5.5","6","13","20","N","DIP20",
"TC74HCT245AF","","TC74HCT","Gate","Bus Transceiver","4.5","5.5","6","10","20","Y","SOP20",
"TC74HCT245AP","","TC74HCT","Gate","Bus Transceiver","4.5","5.5","6","10","20","N","DIP20",
"TC74HCT273AF","","TC74HCT","Flip-Flop","D-Type Flip-Flop","4.5","5.5","4","15","20","Y","SOP20",
"TC74HCT273AP","","TC74HCT","Flip-Flop","D-Type Flip-Flop","4.5","5.5","4","15","20","N","DIP20",
"TC74HCT32AF","","TC74HCT","Gate","OR","4.5","5.5","4","12","14","Y","SOP14",
"TC74HCT32AP","","TC74HCT","Gate","OR","4.5","5.5","4","12","14","N","DIP14",
"TC74HCT373AF","","TC74HCT","Latch","D-Type Latch","4.5","5.5","6","17","20","Y","SOP20",
"TC74HCT373AP","","TC74HCT","Latch","D-Type Latch","4.5","5.5","6","17","20","N","DIP20",
"TC74HCT374AF","","TC74HCT","Flip-Flop","D-Type Flip-Flop","4.5","5.5","6","17","20","Y","SOP20",
"TC74HCT374AP","","TC74HCT","Flip-Flop","D-Type Flip-Flop","4.5","5.5","6","17","20","N","DIP20",
"TC74HCT4053AFT","","TC74HCT","Multiplexer","2-Channel Analog Multiplexer","4.5","12","","30","16","Y","TSSOP16",
"TC74HCT4053AF","","TC74HCT","Multiplexer","2-Channel Analog Multiplexer","4.5","12","","30","16","Y","SOP16",
"TC74HCT540AF","","TC74HCT","Gate","Bus Buffer","4.5","5.5","6","10","20","Y","SOP20",
"TC74HCT540AP","","TC74HCT","Gate","Bus Buffer","4.5","5.5","6","10","20","N","DIP20",
"TC74HCT541AF","","TC74HCT","Gate","Bus Buffer","4.5","5.5","6","10","20","Y","SOP20",
"TC74HCT541AP","","TC74HCT","Gate","Bus Buffer","4.5","5.5","6","10","20","N","DIP20",
"TC74HCT573AF","","TC74HCT","Latch","D-Type Latch","4.5","5.5","6","18","20","Y","SOP20",
"TC74HCT573AP","","TC74HCT","Latch","D-Type Latch","4.5","5.5","6","18","20","N","DIP20",
"TC74HCT574AF","","TC74HCT","Flip-Flop","D-Type Flip-Flop","4.5","5.5","6","16","20","Y","SOP20",
"TC74HCT574AP","","TC74HCT","Flip-Flop","D-Type Flip-Flop","4.5","5.5","6","16","20","N","DIP20",
"TC74HCT688AF","","TC74HCT","Arithmetic Circuits","8-Bit Equality Comparator","4.5","5.5","4","17","20","Y","SOP20",
"TC74HCT688AP","","TC74HCT","Arithmetic Circuits","8-Bit Equality Comparator","4.5","5.5","4","17","20","N","DIP20",
"TC74HCT7007AF","","TC74HCT","Gate","Buffer","4.5","5.5","4","11","14","Y","SOP14",
"TC74HCT7007AP","","TC74HCT","Gate","Buffer","4.5","5.5","4","11","14","N","DIP14",
"TC74HCT74AF","","TC74HCT","Flip-Flop","D-Type Flip-Flop","4.5","5.5","4","17","14","Y","SOP14",
"TC74HCT74AP","","TC74HCT","Flip-Flop","D-Type Flip-Flop","4.5","5.5","4","17","14","N","DIP14",
"TC74HCT86AF","","TC74HCT","Gate","Exclusive-OR","4.5","5.5","4","15","14","Y","SOP14",
"TC74HCT86AP","","TC74HCT","Gate","Exclusive-OR","4.5","5.5","4","15","14","N","DIP14",
"TC74HCU04AFT","","TC74HC","Gate","Inverter","2","6","4","4","14","Y","TSSOP14",
"TC74HCU04AF","","TC74HC","Gate","Inverter","2","6","4","4","14","Y","SOP14",
"TC74HCU04AP","","TC74HC","Gate","Inverter","2","6","4","4","14","N","DIP14",
"TC74LCX00FK","","TC74LCX","Gate","NAND","2","3.6","24","","14","Y","US14",
"TC74LCX00FT","","TC74LCX","Gate","NAND","2","3.6","24","","14","Y","TSSOP14",
"TC74LCX00F","","TC74LCX","Gate","NAND","2","3.6","24","","14","Y","SOP14",
"TC74LCX02FK","","TC74LCX","Gate","NOR","1.65","3.6","24","","14","Y","US14",
"TC74LCX02FT","","TC74LCX","Gate","NOR","1.65","3.6","24","","14","Y","TSSOP14",
"TC74LCX02F","","TC74LCX","Gate","NOR","1.65","3.6","24","","14","Y","SOP14",
"TC74LCX04FK","","TC74LCX","Gate","Inverter","1.65","3.6","24","","14","Y","US14",
"TC74LCX04FT","","TC74LCX","Gate","Inverter","1.65","3.6","24","","14","Y","TSSOP14",
"TC74LCX04F","","TC74LCX","Gate","Inverter","1.65","3.6","24","","14","Y","SOP14",
"TC74LCX05FK","","TC74LCX","Gate","Inverter (Open Drain)","1.65","5.5","24","","14","Y","US14",
"TC74LCX05FT","","TC74LCX","Gate","Inverter (Open Drain)","1.65","5.5","24","","14","Y","TSSOP14",
"TC74LCX05F","","TC74LCX","Gate","Inverter (Open Drain)","1.65","5.5","24","","14","Y","SOP14",
"TC74LCX07FK","","TC74LCX","Gate","Buffer (Open Drain)","1.65","5.5","24","","14","Y","US14",
"TC74LCX07FT","","TC74LCX","Gate","Buffer (Open Drain)","1.65","5.5","24","","14","Y","TSSOP14",
"TC74LCX07F","","TC74LCX","Gate","Buffer (Open Drain)","1.65","5.5","24","","14","Y","SOP14",
"TC74LCX08FK","","TC74LCX","Gate","AND","2","3.6","24","","14","Y","US14",
"TC74LCX08FT","","TC74LCX","Gate","AND","2","3.6","24","","14","Y","TSSOP14",
"TC74LCX08F","","TC74LCX","Gate","AND","2","3.6","24","","14","Y","SOP14",
"TC74LCX125FK","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","14","Y","US14",
"TC74LCX125FT","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","14","Y","TSSOP14",
"TC74LCX125F","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","14","Y","SOP14",
"TC74LCX126FK","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","14","Y","US14",
"TC74LCX126FT","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","14","Y","TSSOP14",
"TC74LCX126F","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","14","Y","SOP14",
"TC74LCX138FK","","TC74LCX","Decoder","3-to-8 Line Decoder","1.65","3.6","24","","16","Y","US16",
"TC74LCX138FT","","TC74LCX","Decoder","3-to-8 Line Decoder","1.65","3.6","24","","16","Y","TSSOP16",
"TC74LCX138F","","TC74LCX","Decoder","3-to-8 Line Decoder","1.65","3.6","24","","16","Y","SOP16",
"TC74LCX14FK","","TC74LCX","Gate","Schmitt Inverter","1.65","3.6","24","","14","Y","US14",
"TC74LCX14FT","","TC74LCX","Gate","Schmitt Inverter","1.65","3.6","24","","14","Y","TSSOP14",
"TC74LCX14F","","TC74LCX","Gate","Schmitt Inverter","1.65","3.6","24","","14","Y","SOP14",
"TC74LCX157FK","","TC74LCX","Multiplexer","2-Channel Multiplexer","1.65","3.6","24","","16","Y","US16",
"TC74LCX157FT","","TC74LCX","Multiplexer","2-Channel Multiplexer","1.65","3.6","24","","16","Y","TSSOP16",
"TC74LCX157F","","TC74LCX","Multiplexer","2-Channel Multiplexer","1.65","3.6","24","","16","Y","SOP16",
"TC74LCX16240FT","","TC74LCX","Gate","Bus Buffer","2","3.6","24","","48","Y","TSSOP48",
"TC74LCX16244FT","","TC74LCX","Gate","Bus Buffer","2","3.6","24","","48","Y","TSSOP48",
"TC74LCX16245FT","","TC74LCX","Gate","Bus Transceiver","2","3.6","24","","48","Y","TSSOP48",
