品番,ライフサイクル,グループ,機能1,機能2,V<sub>CC</sub> (Min)(V),V<sub>CC</sub> (Max)(V),I<sub>O</sub> (Min)(mA),tpd_tpz (Typ.)(nsec),ピン数,面実装区分,パッケージ名(Toshiba),
"TC74LVX138F","","TC74LVX","Decoder","3-to-8 Line Decoder","2","3.6","4","5.5","16","Y","SOP16",
"TC74LVX14FT","","TC74LVX","Gate","Schmitt Inverter","2","3.6","4","6.8","14","Y","TSSOP14",
"TC74LVX14F","","TC74LVX","Gate","Schmitt Inverter","2","3.6","4","6.8","14","Y","SOP14",
"TC74LVX157FT","","TC74LVX","Multiplexer","2-Channel Multiplexer","2","3.6","4","5.1","16","Y","TSSOP16",
"TC74LVX157F","","TC74LVX","Multiplexer","2-Channel Multiplexer","2","3.6","4","5.1","16","Y","SOP16",
"TC74LVX174FT","","TC74LVX","Flip-Flop","D-Type Flip-Flop","2","3.6","4","5.9","16","Y","TSSOP16",
"TC74LVX174F","","TC74LVX","Flip-Flop","D-Type Flip-Flop","2","3.6","4","5.9","16","Y","SOP16",
"TC74LVX240FT","","TC74LVX","Gate","Bus Buffer","2","3.6","4","4.7","20","Y","TSSOP20",
"TC74LVX240F","","TC74LVX","Gate","Bus Buffer","2","3.6","4","4.7","20","Y","SOP20",
"TC74LVX244FT","","TC74LVX","Gate","Bus Buffer","2","3.6","4","4.7","20","Y","TSSOP20",
"TC74LVX244F","","TC74LVX","Gate","Bus Buffer","2","3.6","4","4.7","20","Y","SOP20",
"TC74LVX245FT","","TC74LVX","Gate","Bus Transceiver","2","3.6","4","4.7","20","Y","TSSOP20",
"TC74LVX245F","","TC74LVX","Gate","Bus Transceiver","2","3.6","4","4.7","20","Y","SOP20",
"TC74LVX273FT","","TC74LVX","Flip-Flop","D-Type Flip-Flop","2","3.6","4","7.1","20","Y","TSSOP20",
"TC74LVX273F","","TC74LVX","Flip-Flop","D-Type Flip-Flop","2","3.6","4","7.1","20","Y","SOP20",
"TC74LVX32FT","","TC74LVX","Gate","OR","2","3.6","4","4.4","14","Y","TSSOP14",
"TC74LVX32F","","TC74LVX","Gate","OR","2","3.6","4","4.4","14","Y","SOP14",
"TC74LVX373FT","","TC74LVX","Latch","D-Type Latch","2","3.6","4","5.8","20","Y","TSSOP20",
"TC74LVX373F","","TC74LVX","Latch","D-Type Latch","2","3.6","4","5.8","20","Y","SOP20",
"TC74LVX374FT","","TC74LVX","Flip-Flop","D-Type Flip-Flop","2","3.6","4","6.7","20","Y","TSSOP20",
"TC74LVX374F","","TC74LVX","Flip-Flop","D-Type Flip-Flop","2","3.6","4","6.7","20","Y","SOP20",
"TC74LVX4051FK","","TC74LVX","Multiplexer","8-Channel Analog Multiplexer","2","6","","3","16","Y","US16",
"TC74LVX4051FT","","TC74LVX","Multiplexer","8-Channel Analog Multiplexer","2","6","","3","16","Y","TSSOP16",
"TC74LVX4051F","","TC74LVX","Multiplexer","8-Channel Analog Multiplexer","2","6","","3","16","Y","SOP16",
"TC74LVX4052FK","","TC74LVX","Multiplexer","4-Channel Analog Multiplexer","2","6","","3","16","Y","US16",
"TC74LVX4052FT","","TC74LVX","Multiplexer","4-Channel Analog Multiplexer","2","6","","3","16","Y","TSSOP16",
"TC74LVX4052F","","TC74LVX","Multiplexer","4-Channel Analog Multiplexer","2","6","","3","16","Y","SOP16",
"TC74LVX4053FK","","TC74LVX","Multiplexer","2-Channel Analog Multiplexer","2","6","","3","16","Y","US16",
"TC74LVX4053FT","","TC74LVX","Multiplexer","2-Channel Analog Multiplexer","2","6","","3","16","Y","TSSOP16",
"TC74LVX4053F","","TC74LVX","Multiplexer","2-Channel Analog Multiplexer","2","6","","3","16","Y","SOP16",
"TC74LVX4245FS","","TC74LVX","Gate","Dual Supply Bus Transceiver","","","","","24","Y","SSOP24",
"TC74LVX573FT","","TC74LVX","Latch","D-Type Latch","2","3.6","4","6.4","20","Y","TSSOP20",
"TC74LVX573F","","TC74LVX","Latch","D-Type Latch","2","3.6","4","6.4","20","Y","SOP20",
"TC74LVX74FT","","TC74LVX","Flip-Flop","D-Type Flip-Flop","2","3.6","4","5.7","14","Y","TSSOP14",
"TC74LVX74F","","TC74LVX","Flip-Flop","D-Type Flip-Flop","2","3.6","4","5.7","14","Y","SOP14",
"TC74LVX86FT","","TC74LVX","Gate","Exclusive-OR","2","3.6","4","5.8","14","Y","TSSOP14",
"TC74LVX86F","","TC74LVX","Gate","Exclusive-OR","2","3.6","4","5.8","14","Y","SOP14",
"TC74LVXC3245FS","","TC74LVX","Gate","Dual Supply Bus Transceiver","","","","","24","Y","SSOP24",
"TC74VCX00FK","","TC74VCX","Gate","NAND","1.2","3.6","24","","14","Y","US14",
"TC74VCX00FT","","TC74VCX","Gate","NAND","1.2","3.6","24","","14","Y","TSSOP14",
"TC74VCX02FK","","TC74VCX","Gate","NOR","1.2","3.6","24","","14","Y","US14",
"TC74VCX02FT","","TC74VCX","Gate","NOR","1.2","3.6","24","","14","Y","TSSOP14",
"TC74VCX04FK","","TC74VCX","Gate","Inverter","1.2","3.6","24","","14","Y","US14",
"TC74VCX04FT","","TC74VCX","Gate","Inverter","1.2","3.6","24","","14","Y","TSSOP14",
"TC74VCX08FK","","TC74VCX","Gate","AND","1.2","3.6","24","","14","Y","US14",
"TC74VCX08FT","","TC74VCX","Gate","AND","1.2","3.6","24","","14","Y","TSSOP14",
"TC74VCX125FK","","TC74VCX","Gate","Bus Buffer","1.2","3.6","24","","14","Y","US14",
"TC74VCX125FT","","TC74VCX","Gate","Bus Buffer","1.2","3.6","24","","14","Y","TSSOP14",
"TC74VCX138FK","","TC74VCX","Decoder","3-to-8 Line Decoder","1.2","3.6","24","","16","Y","US16",
"TC74VCX138FT","","TC74VCX","Decoder","3-to-8 Line Decoder","1.2","3.6","24","","16","Y","TSSOP16",
"TC74VCX14FK","","TC74VCX","Gate","Schmitt Inverter","1.2","3.6","24","","14","Y","US14",
"TC74VCX14FT","","TC74VCX","Gate","Schmitt Inverter","1.2","3.6","24","","14","Y","TSSOP14",
"TC74VCX157FK","","TC74VCX","Multiplexer","2-Channel Multiplexer","1.2","3.6","24","","16","Y","US16",
"TC74VCX157FT","","TC74VCX","Multiplexer","2-Channel Multiplexer","1.2","3.6","24","","16","Y","TSSOP16",
"TC74VCX162244FT","","TC74VCX","Gate","Bus Buffer","1.2","3.6","12","","48","Y","TSSOP48",
"TC74VCX162373FT","","TC74VCX","Latch","D-Type Latch","1.8","3.6","12","","48","Y","TSSOP48",
"TC74VCX162374FT","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.8","3.6","12","","48","Y","TSSOP48",
"TC74VCX16244FT","","TC74VCX","Gate","Bus Buffer","1.8","3.6","24","","48","Y","TSSOP48",
"TC74VCX16245FT","","TC74VCX","Gate","Bus Transceiver","1.8","3.6","24","","48","Y","TSSOP48",
"TC74VCX162721FT","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCX162821FT","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCX162823FT","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCX162827FT","","TC74VCX","Gate","Bus Buffer","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCX162834FT","","TC74VCX","Flip-Flop","Universal Bus Driver","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCX162835FT","","TC74VCX","Flip-Flop","Universal Bus Driver","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCX162841FT","","TC74VCX","Latch","D-Type Latch","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCX162843FT","","TC74VCX","Latch","D-Type Latch","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCX163245FT","","TC74VCX","Gate","Dual Supply Bus Transceiver","","","","","48","Y","TSSOP48",
"TC74VCX16373FT","","TC74VCX","Latch","D-Type Latch","1.8","3.6","24","","48","Y","TSSOP48",
"TC74VCX16374FT","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.8","3.6","24","","48","Y","TSSOP48",
"TC74VCX164245FT","","TC74VCX","Gate","Dual Supply Bus Transceiver","","","","","48","Y","TSSOP48",
"TC74VCX16500FT","","TC74VCX","Gate","Universal Bus Transceiver","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCX16501FT","","TC74VCX","Gate","Universal Bus Transceiver","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCX16543FT","","TC74VCX","Gate","Registered Transceiver","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCX16600FT","","TC74VCX","Gate","Universal Bus Transceiver","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCX16601FT","","TC74VCX","Gate","Universal Bus Transceiver","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCX16646FT","","TC74VCX","Gate","Bus Transceiver","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCX16652FT","","TC74VCX","Gate","Bus Transceiver","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCX16721FT","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCX16821FT","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCX16823FT","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCX16827FT","","TC74VCX","Gate","Bus Buffer","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCX16834FT","","TC74VCX","Flip-Flop","Universal Bus Driver","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCX16835FT","","TC74VCX","Flip-Flop","Universal Bus Driver","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCX16841FT","","TC74VCX","Latch","D-Type Latch","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCX16843FT","","TC74VCX","Latch","D-Type Latch","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCX2125FK","","TC74VCX","Gate","Bus Buffer","1.8","3.6","12","","14","Y","US14",
"TC74VCX2125FT","","TC74VCX","Gate","Bus Buffer","1.8","3.6","12","","14","Y","TSSOP14",
"TC74VCX2244FK","","TC74VCX","Gate","Bus Buffer","1.8","3.6","12","","20","Y","US20",
"TC74VCX2244FT","","TC74VCX","Gate","Bus Buffer","1.8","3.6","12","","20","Y","TSSOP20",
"TC74VCX2373FK","","TC74VCX","Latch","D-Type Latch","1.8","3.6","12","","20","Y","US20",
"TC74VCX2373FT","","TC74VCX","Latch","D-Type Latch","1.8","3.6","12","","20","Y","TSSOP20",
"TC74VCX2374FK","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.8","3.6","12","","20","Y","US20",
"TC74VCX2374FT","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.8","3.6","12","","20","Y","TSSOP20",
"TC74VCX244FK","","TC74VCX","Gate","Bus Buffer","1.2","3.6","24","","20","Y","US20",
"TC74VCX244FT","","TC74VCX","Gate","Bus Buffer","1.2","3.6","24","","20","Y","TSSOP20",
"TC74VCX245FK","","TC74VCX","Gate","Bus Transceiver","1.2","3.6","24","","20","Y","US20",
"TC74VCX245FTG","","TC74VCX","Gate","Bus Transceiver","1.2","3.6","24","","20","Y","VQON20",
"TC74VCX245FT","","TC74VCX","Gate","Bus Transceiver","1.2","3.6","24","","20","Y","TSSOP20",
"TC74VCX2541FK","","TC74VCX","Gate","Bus Buffer","1.8","3.6","12","","20","Y","US20",
"TC74VCX2541FTG","","TC74VCX","Gate","Bus Buffer","1.8","3.6","12","","20","Y","VQON20",
"TC74VCX2541FT","","TC74VCX","Gate","Bus Buffer","1.8","3.6","12","","20","Y","TSSOP20",
"TC74VCX2573FK","","TC74VCX","Latch","D-Type Latch","1.8","3.6","12","","20","Y","US20",
"TC74VCX2573FT","","TC74VCX","Latch","D-Type Latch","1.8","3.6","12","","20","Y","TSSOP20",
"TC74VCX2574FK","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.8","3.6","12","","20","Y","US20",
"TC74VCX2574FT","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.8","3.6","12","","20","Y","TSSOP20",
"TC74VCX257FK","","TC74VCX","Multiplexer","2-Channel Multiplexer","1.2","3.6","24","","16","Y","US16",
"TC74VCX257FT","","TC74VCX","Multiplexer","2-Channel Multiplexer","1.2","3.6","24","","16","Y","TSSOP16",
"TC74VCX32FK","","TC74VCX","Gate","OR","1.2","3.6","24","","14","Y","US14",
"TC74VCX32FT","","TC74VCX","Gate","OR","1.2","3.6","24","","14","Y","TSSOP14",
"TC74VCX373FK","","TC74VCX","Latch","D-Type Latch","1.2","3.6","24","","20","Y","US20",
"TC74VCX373FT","","TC74VCX","Latch","D-Type Latch","1.2","3.6","24","","20","Y","TSSOP20",
"TC74VCX374FK","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.2","3.6","24","","20","Y","US20",
"TC74VCX374FT","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.2","3.6","24","","20","Y","TSSOP20",
"TC74VCX541FK","","TC74VCX","Gate","Bus Buffer","1.2","3.6","24","","20","Y","US20",
"TC74VCX541FTG","","TC74VCX","Gate","Bus Buffer","1.2","3.6","24","","20","Y","VQON20",
"TC74VCX541FT","","TC74VCX","Gate","Bus Buffer","1.2","3.6","24","","20","Y","TSSOP20",
"TC74VCX573FK","","TC74VCX","Latch","D-Type Latch","1.2","3.6","24","","20","Y","US20",
"TC74VCX573FT","","TC74VCX","Latch","D-Type Latch","1.2","3.6","24","","20","Y","TSSOP20",
"TC74VCX574FK","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.2","3.6","24","","20","Y","US20",
"TC74VCX574FT","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.2","3.6","24","","20","Y","TSSOP20",
"TC74VCX74FK","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.2","3.6","24","","14","Y","US14",
"TC74VCX74FT","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.2","3.6","24","","14","Y","TSSOP14",
"TC74VCX86FK","","TC74VCX","Gate","Exclusive-OR","1.2","3.6","24","","14","Y","US14",
"TC74VCX86FT","","TC74VCX","Gate","Exclusive-OR","1.2","3.6","24","","14","Y","TSSOP14",
"TC74VCXH162244FT","","TC74VCX","Gate","Bus Buffer","1.8","3.6","12","","48","Y","TSSOP48",
"TC74VCXH162373FT","","TC74VCX","Latch","D-Type Latch","1.8","3.6","12","","48","Y","TSSOP48",
"TC74VCXH162374FT","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.8","3.6","12","","48","Y","TSSOP48",
"TC74VCXH16244FT","","TC74VCX","Gate","Bus Buffer","1.8","3.6","24","","48","Y","TSSOP48",
"TC74VCXH16245FT","","TC74VCX","Gate","Bus Transceiver","1.8","3.6","24","","48","Y","TSSOP48",
"TC74VCXH162827FT","","TC74VCX","Gate","Bus Buffer","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCXH16373FT","","TC74VCX","Latch","D-Type Latch","1.8","3.6","24","","48","Y","TSSOP48",
"TC74VCXH16374FT","","TC74VCX","Flip-Flop","D-Type Flip-Flop","1.8","3.6","24","","48","Y","TSSOP48",
"TC74VCXH16500FT","","TC74VCX","Gate","Universal Bus Transceiver","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCXH16501FT","","TC74VCX","Gate","Universal Bus Transceiver","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCXH16543FT","","TC74VCX","Gate","Registered Transceiver","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCXH16600FT","","TC74VCX","Gate","Universal Bus Transceiver","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCXH16601FT","","TC74VCX","Gate","Universal Bus Transceiver","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCXH16646FT","","TC74VCX","Gate","Bus Transceiver","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCXH16652FT","","TC74VCX","Gate","Bus Transceiver","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCXH16827FT","","TC74VCX","Gate","Bus Buffer","1.8","3.6","24","","56","Y","TSSOP56",
"TC74VCXHR162245FT","","TC74VCX","Gate","Bus Transceiver","1.8","3.6","12","","48","Y","TSSOP48",
"TC74VCXHR162500FT","","TC74VCX","Gate","Universal Bus Transceiver","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCXHR162501FT","","TC74VCX","Gate","Universal Bus Transceiver","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCXHR162543FT","","TC74VCX","Gate","Registered Transceiver","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCXHR162600FT","","TC74VCX","Gate","Universal Bus Transceiver","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCXHR162601FT","","TC74VCX","Gate","Universal Bus Transceiver","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCXHR162646FT","","TC74VCX","Gate","Bus Transceiver","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCXHR162652FT","","TC74VCX","Gate","Bus Transceiver","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCXR162245FT","","TC74VCX","Gate","Bus Transceiver","1.8","3.6","12","","48","Y","TSSOP48",
"TC74VCXR162500FT","","TC74VCX","Gate","Universal Bus Transceiver","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCXR162501FT","","TC74VCX","Gate","Universal Bus Transceiver","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCXR162543FT","","TC74VCX","Gate","Registered Transceiver","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCXR162600FT","","TC74VCX","Gate","Universal Bus Transceiver","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCXR162601FT","","TC74VCX","Gate","Universal Bus Transceiver","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCXR162646FT","","TC74VCX","Gate","Bus Transceiver","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCXR162652FT","","TC74VCX","Gate","Bus Transceiver","1.8","3.6","12","","56","Y","TSSOP56",
"TC74VCXR2245FK","","TC74VCX","Gate","Bus Transceiver","1.8","3.6","12","","20","Y","US20",
"TC74VCXR2245FTG","","TC74VCX","Gate","Bus Transceiver","1.8","3.6","12","","20","Y","VQON20",
"TC74VCXR2245FT","","TC74VCX","Gate","Bus Transceiver","1.8","3.6","12","","20","Y","TSSOP20",
"TC74VHC00FK","","TC74VHC","Gate","NAND","2","5.5","8","3.7","14","Y","US14",
"TC74VHC00FT","","TC74VHC","Gate","NAND","2","5.5","8","3.7","14","Y","TSSOP14",
"TC74VHC00F","","TC74VHC","Gate","NAND","2","5.5","8","3.7","14","Y","SOP14",
"TC74VHC02FK","","TC74VHC","Gate","NOR","2","5.5","8","3.6","14","Y","US14",
"TC74VHC02FT","","TC74VHC","Gate","NOR","2","5.5","8","3.6","14","Y","TSSOP14",
"TC74VHC02F","","TC74VHC","Gate","NOR","2","5.5","8","3.6","14","Y","SOP14",
"TC74VHC03FK","","TC74VHC","Gate","NAND (Open Drain)","2","5.5","8","3.7","14","Y","US14",
"TC74VHC03FT","","TC74VHC","Gate","NAND (Open Drain)","2","5.5","8","3.7","14","Y","TSSOP14",
"TC74VHC03F","","TC74VHC","Gate","NAND (Open Drain)","2","5.5","8","3.7","14","Y","SOP14",
"TC74VHC04FK","","TC74VHC","Gate","Inverter","2","5.5","8","3.8","14","Y","US14",
"TC74VHC04FT","","TC74VHC","Gate","Inverter","2","5.5","8","3.8","14","Y","TSSOP14",
"TC74VHC04F","","TC74VHC","Gate","Inverter","2","5.5","8","3.8","14","Y","SOP14",
"TC74VHC05FK","","TC74VHC","Gate","Inverter (Open Drain)","2","5.5","8","3.8","14","Y","US14",
"TC74VHC05FT","","TC74VHC","Gate","Inverter (Open Drain)","2","5.5","8","3.8","14","Y","TSSOP14",
"TC74VHC05F","","TC74VHC","Gate","Inverter (Open Drain)","2","5.5","8","3.8","14","Y","SOP14",
"TC74VHC08FK","","TC74VHC","Gate","AND","2","5.5","8","4.3","14","Y","US14",
"TC74VHC08FT","","TC74VHC","Gate","AND","2","5.5","8","4.3","14","Y","TSSOP14",
"TC74VHC08F","","TC74VHC","Gate","AND","2","5.5","8","4.3","14","Y","SOP14",
"TC74VHC10FT","","TC74VHC","Gate","NAND","2","5.5","8","3.9","14","Y","TSSOP14",
"TC74VHC10F","","TC74VHC","Gate","NAND","2","5.5","8","3.9","14","Y","SOP14",
"TC74VHC11FT","","TC74VHC","Gate","AND","2","5.5","8","4.1","14","Y","TSSOP14",
"TC74VHC11F","","TC74VHC","Gate","AND","2","5.5","8","4.1","14","Y","SOP14",
"TC74VHC123AFK","","TC74VHC","Multivibrator","Monostable Multivibrator","2","5.5","8","8.1","16","Y","US16",
"TC74VHC123AFT","","TC74VHC","Multivibrator","Monostable Multivibrator","2","5.5","8","8.1","16","Y","TSSOP16",
"TC74VHC123AF","","TC74VHC","Multivibrator","Monostable Multivibrator","2","5.5","8","8.1","16","Y","SOP16",
"TC74VHC125FK","","TC74VHC","Gate","Bus Buffer","2","5.5","8","3.8","14","Y","US14",
"TC74VHC125FT","","TC74VHC","Gate","Bus Buffer","2","5.5","8","3.8","14","Y","TSSOP14",
"TC74VHC125F","","TC74VHC","Gate","Bus Buffer","2","5.5","8","3.8","14","Y","SOP14",
"TC74VHC126FK","","TC74VHC","Gate","Bus Buffer","2","5.5","8","3.8","14","Y","US14",
"TC74VHC126FT","","TC74VHC","Gate","Bus Buffer","2","5.5","8","3.8","14","Y","TSSOP14",
"TC74VHC126F","","TC74VHC","Gate","Bus Buffer","2","5.5","8","3.8","14","Y","SOP14",
"TC74VHC132FK","","TC74VHC","Gate","Schmitt NAND","2","5.5","8","4.9","14","Y","US14",
"TC74VHC132FT","","TC74VHC","Gate","Schmitt NAND","2","5.5","8","4.9","14","Y","TSSOP14",
"TC74VHC132F","","TC74VHC","Gate","Schmitt NAND","2","5.5","8","4.9","14","Y","SOP14",
"TC74VHC138FK","","TC74VHC","Decoder","3-to-8 Line Decoder","2","5.5","8","5.7","16","Y","US16",
"TC74VHC138FT","","TC74VHC","Decoder","3-to-8 Line Decoder","2","5.5","8","5.7","16","Y","TSSOP16",
"TC74VHC138F","","TC74VHC","Decoder","3-to-8 Line Decoder","2","5.5","8","5.7","16","Y","SOP16",
"TC74VHC139FK","","TC74VHC","Decoder","2-to-4 Line Decoder","2","5.5","8","5","16","Y","US16",
"TC74VHC139FT","","TC74VHC","Decoder","2-to-4 Line Decoder","2","5.5","8","5","16","Y","TSSOP16",
"TC74VHC139F","","TC74VHC","Decoder","2-to-4 Line Decoder","2","5.5","8","5","16","Y","SOP16",
"TC74VHC14FK","","TC74VHC","Gate","Schmitt Inverter","2","5.5","8","5.5","14","Y","US14",
"TC74VHC14FT","","TC74VHC","Gate","Schmitt Inverter","2","5.5","8","5.5","14","Y","TSSOP14",
"TC74VHC14F","","TC74VHC","Gate","Schmitt Inverter","2","5.5","8","5.5","14","Y","SOP14",
"TC74VHC153FK","","TC74VHC","Multiplexer","4-Channel Multiplexer","2","5.5","8","5","16","Y","US16",
"TC74VHC153FT","","TC74VHC","Multiplexer","4-Channel Multiplexer","2","5.5","8","5","16","Y","TSSOP16",
"TC74VHC153F","","TC74VHC","Multiplexer","4-Channel Multiplexer","2","5.5","8","5","16","Y","SOP16",
"TC74VHC157FK","","TC74VHC","Multiplexer","2-Channel Multiplexer","2","5.5","8","4.1","16","Y","US16",
"TC74VHC157FT","","TC74VHC","Multiplexer","2-Channel Multiplexer","2","5.5","8","4.1","16","Y","TSSOP16",
"TC74VHC157F","","TC74VHC","Multiplexer","2-Channel Multiplexer","2","5.5","8","4.1","16","Y","SOP16",
"TC74VHC161FK","","TC74VHC","Counter","Binary Counter","2","5.5","8","4.9","16","Y","US16",
"TC74VHC161FT","","TC74VHC","Counter","Binary Counter","2","5.5","8","4.9","16","Y","TSSOP16",
"TC74VHC161F","","TC74VHC","Counter","Binary Counter","2","5.5","8","4.9","16","Y","SOP16",
"TC74VHC163FK","","TC74VHC","Counter","Binary Counter","2","5.5","8","4.9","16","Y","US16",
"TC74VHC163FT","","TC74VHC","Counter","Binary Counter","2","5.5","8","4.9","16","Y","TSSOP16",
"TC74VHC163F","","TC74VHC","Counter","Binary Counter","2","5.5","8","4.9","16","Y","SOP16",
"TC74VHC164FK","","TC74VHC","Shift Register","Serial-In/Parallel-Out Shift Register","2","5.5","8","5.8","14","Y","US14",
"TC74VHC164FT","","TC74VHC","Shift Register","Serial-In/Parallel-Out Shift Register","2","5.5","8","5.8","14","Y","TSSOP14",
"TC74VHC164F","","TC74VHC","Shift Register","Serial-In/Parallel-Out Shift Register","2","5.5","8","5.8","14","Y","SOP14",
"TC74VHC165FK","","TC74VHC","Shift Register","Parallel-In/Serial-Out Shift Register","2","5.5","8","6.6","16","Y","US16",
"TC74VHC165FT","","TC74VHC","Shift Register","Parallel-In/Serial-Out Shift Register","2","5.5","8","6.6","16","Y","TSSOP16",
"TC74VHC165F","","TC74VHC","Shift Register","Parallel-In/Serial-Out Shift Register","2","5.5","8","6.6","16","Y","SOP16",
"TC74VHC174FK","","TC74VHC","Flip-Flop","D-Type Flip-Flop","2","5.5","8","4.9","16","Y","US16",
"TC74VHC174FT","","TC74VHC","Flip-Flop","D-Type Flip-Flop","2","5.5","8","4.9","16","Y","TSSOP16",
"TC74VHC174F","","TC74VHC","Flip-Flop","D-Type Flip-Flop","2","5.5","8","4.9","16","Y","SOP16",
"TC74VHC175FK","","TC74VHC","Flip-Flop","D-Type Flip-Flop","2","5.5","8","4.8","16","Y","US16",
"TC74VHC175FT","","TC74VHC","Flip-Flop","D-Type Flip-Flop","2","5.5","8","4.8","16","Y","TSSOP16",
"TC74VHC175F","","TC74VHC","Flip-Flop","D-Type Flip-Flop","2","5.5","8","4.8","16","Y","SOP16",
"TC74VHC20FK","","TC74VHC","Gate","NAND","2","5.5","8","3.3","14","Y","US14",
"TC74VHC20FT","","TC74VHC","Gate","NAND","2","5.5","8","3.3","14","Y","TSSOP14",
"TC74VHC20F","","TC74VHC","Gate","NAND","2","5.5","8","3.3","14","Y","SOP14",
"TC74VHC21FK","","TC74VHC","Gate","AND","2","5.5","8","3.3","14","Y","US14",
"TC74VHC21FT","","TC74VHC","Gate","AND","2","5.5","8","3.3","14","Y","TSSOP14",
"TC74VHC21F","","TC74VHC","Gate","AND","2","5.5","8","3.3","14","Y","SOP14",
"TC74VHC221AFK","","TC74VHC","Multivibrator","Monostable Multivibrator","2","5.5","8","8.1","16","Y","US16",
"TC74VHC221AFT","","TC74VHC","Multivibrator","Monostable Multivibrator","2","5.5","8","8.1","16","Y","TSSOP16",
"TC74VHC221AF","","TC74VHC","Multivibrator","Monostable Multivibrator","2","5.5","8","8.1","16","Y","SOP16",
"TC74VHC238FK","","TC74VHC","Decoder","3-to-8 Line Decoder","2","5.5","8","5.5","16","Y","US16",
"TC74VHC238FT","","TC74VHC","Decoder","3-to-8 Line Decoder","2","5.5","8","5.5","16","Y","TSSOP16",
"TC74VHC238F","","TC74VHC","Decoder","3-to-8 Line Decoder","2","5.5","8","5.5","16","Y","SOP16",
"TC74VHC240FK","","TC74VHC","Gate","Bus Buffer","2","5.5","8","3.9","20","Y","US20",
"TC74VHC240FT","","TC74VHC","Gate","Bus Buffer","2","5.5","8","3.9","20","Y","TSSOP20",
"TC74VHC240F","","TC74VHC","Gate","Bus Buffer","2","5.5","8","3.9","20","Y","SOP20",
"TC74VHC244FK","","TC74VHC","Gate","Bus Buffer","2","5.5","8","3.9","20","Y","US20",
