品番,ライフサイクル,グループ,機能1,機能2,ゲート数,V<sub>CC</sub> (Min)(V),V<sub>CC</sub> (Max)(V),I<sub>O</sub> (Min)(mA),tpd_tpz (Typ.)(nsec),ピン数,パッケージ名(Toshiba),
"TC7WH34FC","","TC7WH","Buffer","Non-Inverter Buffer","3","2","5.5","8","3.8","8","CST8",
"TC7WH34FK","","TC7WH","Buffer","Non-Inverter Buffer","3","2","5.5","8","3.8","8","US8",
"TC7WH34FU","","TC7WH","Buffer","Non-Inverter Buffer","3","2","5.5","8","3.8","8","SM8",
"TC7WH74FC","","TC7WH","Flip-Flop","D-Type Flip-Flop","1","2","5.5","8","4.6","8","CST8",
"TC7WH74FK","","TC7WH","Flip-Flop","D-Type Flip-Flop","1","2","5.5","8","4.6","8","US8",
"TC7WH74FU","","TC7WH","Flip-Flop","D-Type Flip-Flop","1","2","5.5","8","4.6","8","SM8",
"TC7WHU04FK","","TC7WH","Inverter","Inverter (Unbuffer)","3","2","5.5","8","3.5","8","US8",
"TC7WHU04FU","","TC7WH","Inverter","Inverter (Unbuffer)","3","2","5.5","8","3.5","8","SM8",
"TC7WT125FU","","TC7WT","Buffer","3-State Buffer","2","4.5","5.5","6","13","8","SM8",
"TC7WT126FU","","TC7WT","Buffer","3-State Buffer","2","4.5","5.5","6","13","8","SM8",
"TC7WT240FU","","TC7WT","Buffer","3-State Inverter Buffer","2","4.5","5.5","6","13","8","SM8",
"TC7WT241FU","","TC7WT","Buffer","3-State Buffer","2","4.5","5.5","6","13","8","SM8",
"TC7WT74FU","","TC7WT","Flip-Flop","D-Type Flip-Flop","1","4.5","5.5","4","17","8","SM8",
"TC7WU04FK","","TC7W","Inverter","Inverter (Unbuffer)","3","2","6","5.2","4","8","US8",
"TC7WU04FU","","TC7W","Inverter","Inverter (Unbuffer)","3","2","6","5.2","4","8","SM8",
"TC7WZ00FK","","TC7WZ","Gate","NAND","2","1.65","5.5","32","1.9","8","US8",
"TC7WZ00FU","","TC7WZ","Gate","NAND","2","1.65","5.5","32","1.9","8","SM8",
"TC7WZ02FK","","TC7WZ","Gate","NOR","2","1.65","5.5","32","2","8","US8",
"TC7WZ02FU","","TC7WZ","Gate","NOR","2","1.65","5.5","32","2","8","SM8",
"TC7WZ04FK","","TC7WZ","Inverter","Inverter","3","1.65","5.5","32","1.8","8","US8",
"TC7WZ04FU","","TC7WZ","Inverter","Inverter","3","1.65","5.5","32","1.8","8","SM8",
"TC7WZ05FK","","TC7WZ","Inverter","Inverter (Open Drain)","3","1.65","5.5","32","2.3","8","US8",
"TC7WZ05FU","","TC7WZ","Inverter","Inverter (Open Drain)","3","1.65","5.5","32","2.3","8","SM8",
"TC7WZ08FK","","TC7WZ","Gate","AND","2","1.65","5.5","32","1.9","8","US8",
"TC7WZ08FU","","TC7WZ","Gate","AND","2","1.65","5.5","32","1.9","8","SM8",
"TC7WZ125FK","","TC7WZ","Buffer","3-State Buffer","2","1.65","5.5","32","2.1","8","US8",
"TC7WZ125FU","","TC7WZ","Buffer","3-State Buffer","2","1.65","5.5","32","2.1","8","SM8",
"TC7WZ126FK","","TC7WZ","Buffer","3-State Buffer","2","1.65","5.5","32","2.1","8","US8",
"TC7WZ126FU","","TC7WZ","Buffer","3-State Buffer","2","1.65","5.5","32","2.1","8","SM8",
"TC7WZ14FK","","TC7WZ","Inverter","Schmitt Inverter","3","1.65","5.5","32","3.1","8","US8",
"TC7WZ14FU","","TC7WZ","Inverter","Schmitt Inverter","3","1.65","5.5","32","3.1","8","SM8",
"TC7WZ245FK","","TC7WZ","Transceiver","Bus Transceiver","2","1.65","5.5","32","4.5","8","US8",
"TC7WZ245FU","","TC7WZ","Transceiver","Bus Transceiver","2","1.65","5.5","32","4.5","8","SM8",
"TC7WZ246FK","","TC7WZ","Transceiver","Bus Transceiver","2","1.65","5.5","32","4.5","8","US8",
"TC7WZ246FU","","TC7WZ","Transceiver","Bus Transceiver","2","1.65","5.5","32","4.5","8","SM8",
"TC7WZ32FK","","TC7WZ","Gate","OR","2","1.65","5.5","32","1.8","8","US8",
"TC7WZ32FU","","TC7WZ","Gate","OR","2","1.65","5.5","32","1.8","8","SM8",
"TC7WZ34FK","","TC7WZ","Buffer","Non-Inverter Buffer","3","1.65","5.5","32","1.8","8","US8",
"TC7WZ34FU","","TC7WZ","Buffer","Non-Inverter Buffer","3","1.65","5.5","32","1.8","8","SM8",
"TC7WZ38FK","","TC7WZ","Gate","NAND (Open Drain)","2","1.65","5.5","32","2.2","8","US8",
"TC7WZ38FU","","TC7WZ","Gate","NAND (Open Drain)","2","1.65","5.5","32","2.2","8","SM8",
"TC7WZ74FK","","TC7WZ","Flip-Flop","D-Type Flip-Flop","1","1.65","5.5","32","3.3","8","US8",
"TC7WZ74FU","","TC7WZ","Flip-Flop","D-Type Flip-Flop","1","1.65","5.5","32","3.3","8","SM8",
"TC7WZU04FK","","TC7WZ","Inverter","Inverter (Unbuffer)","3","1.65","5.5","16","2.2","8","US8",
"TC7WZU04FU","","TC7WZ","Inverter","Inverter (Unbuffer)","3","1.65","5.5","16","2.2","8","SM8",

