品番	ライフサイクル	製品分類	パッケージ名(Toshiba)
2SD2440	生産終了予定	低周波用バイポーラパワートランジスタ	TO-3P(N)IS
2SD2449	生産終了予定	低周波用バイポーラパワートランジスタ	TO-3P(L)
2SD2461	生産終了予定	低周波用バイポーラパワートランジスタ	TPS
2SD2462	生産終了予定	低周波用バイポーラパワートランジスタ	TPS
2SD2480	生産終了予定	低周波用バイポーラパワートランジスタ	TPS
2SD2481	生産終了予定	低周波用バイポーラパワートランジスタ	TPS
2SD2499	生産終了予定	水平偏向出力用パワートランジスタ	TO-3P(H)IS
2SD2525	生産終了予定	低周波用バイポーラパワートランジスタ	TPL
2SD2526	生産終了予定	低周波用バイポーラパワートランジスタ	TPL
2SD2531	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD2536	生産終了予定	低周波用バイポーラパワートランジスタ	LSTM
2SD2584	生産終了予定	低周波用バイポーラパワートランジスタ	DPAK
2SD2604	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD2636	生産終了予定	低周波用バイポーラパワートランジスタ	TO-3P(N)
2SD2695	新規設計非推奨	低周波用バイポーラパワートランジスタ	LSTM
2SD525	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220AB
2SD553	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220AB
2SD633	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220AB
2SD798	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220AB
2SD799	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220AB
2SD843	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220AB
2SJ103	生産終了予定	接合形FET (リードタイプ)	TO-92
2SJ105	生産終了予定	接合形FET (リードタイプ)	Mini
2SJ106	生産終了予定	接合形FET (面実装タイプ)	S-Mini
2SJ144	生産終了予定	接合形FET (面実装タイプ)	USM
2SJ148	生産終了予定	小信号MOSFET	TO-92
2SJ167	生産終了予定	小信号MOSFET	Mini
2SJ200	生産終了予定	パワーMOSFET (P-ch 1素子)	TO-3P(N)
2SJ201	生産終了予定	パワーMOSFET (P-ch 1素子)	TO-3P(L)
2SJ304	生産終了予定	パワーMOSFET (P-ch 1素子)	TO-220NIS
2SJ312	生産終了予定	パワーMOSFET (P-ch 1素子)	TO-220FL/SM
2SJ313	生産終了予定	パワーMOSFET (P-ch 1素子)	TO-220NIS
2SJ334	生産終了予定	パワーMOSFET (P-ch 1素子)	TO-220NIS
2SJ338	生産終了予定	パワーMOSFET (P-ch 1素子)	PW-Mold/New PW-Mold
2SJ342	生産終了予定	小信号MOSFET	Mini
2SJ343	新規設計非推奨	小信号MOSFET	S-Mini
2SJ344	新規設計非推奨	小信号MOSFET	USM
2SJ345	生産終了予定	小信号MOSFET	S-Mini
2SJ346	生産終了予定	小信号MOSFET	USM
2SJ347	生産終了予定	小信号MOSFET	SSM
2SJ349	生産終了予定	パワーMOSFET (P-ch 1素子)	TO-220NIS
2SJ377	新規設計非推奨	パワーMOSFET (P-ch 1素子)	PW-Mold/New PW-Mold
2SJ378	生産終了予定	パワーMOSFET (P-ch 1素子)	TPS
2SJ380	生産終了予定	パワーMOSFET (P-ch 1素子)	TO-220NIS
2SJ401	生産終了予定	パワーMOSFET (P-ch 1素子)	TO-220FL/SM
2SJ402	生産終了予定	パワーMOSFET (P-ch 1素子)	TO-220FL/SM
2SJ407	生産終了予定	パワーMOSFET (P-ch 1素子)	TO-220NIS
2SJ412	生産終了予定	パワーMOSFET (P-ch 1素子)	TO-220FL/SM
2SJ438	新規設計非推奨	パワーMOSFET (P-ch 1素子)	TO-220NIS
2SJ439	新規設計非推奨	パワーMOSFET (P-ch 1素子)	New PW-Mold
2SJ464	生産終了予定	パワーMOSFET (P-ch 1素子)	TO-220NIS
2SJ465	新規設計非推奨	パワーMOSFET (P-ch 1素子)	PW-Mini
2SJ508	生産終了予定	パワーMOSFET (P-ch 1素子)	PW-Mini
2SJ511	新規設計非推奨	パワーMOSFET (P-ch 1素子)	PW-Mini
2SJ512	生産終了予定	パワーMOSFET (P-ch 1素子)	TO-220NIS
2SJ516	生産終了予定	パワーMOSFET (P-ch 1素子)	TO-220NIS
2SJ525	生産終了予定	パワーMOSFET (P-ch 1素子)	TPS
2SJ537	新規設計非推奨	パワーMOSFET (P-ch 1素子)	TO-92MOD
2SJ567	新規設計非推奨	パワーMOSFET (P-ch 1素子)	New PW-Mold
2SJ610	新規設計非推奨	パワーMOSFET (P-ch 1素子)	New PW-Mold
2SJ618	生産終了予定	パワーMOSFET (P-ch 1素子)	TO-3P(N)
2SJ619	新規設計非推奨	パワーMOSFET (P-ch 1素子)	TFP
2SJ620	生産終了予定	パワーMOSFET (P-ch 1素子)	TFP
2SJ669	生産終了予定	パワーMOSFET (P-ch 1素子)	TPS
2SJ676	生産終了予定	パワーMOSFET (P-ch 1素子)	TPS
2SK1061	生産終了予定	小信号MOSFET	Mini
2SK1119	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-220AB
2SK1120	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-3P(N)
2SK117	生産終了予定	接合形FET (リードタイプ)	TO-92
2SK118	生産終了予定	接合形FET (リードタイプ)	Mini
2SK1365	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-3P(N)IS
2SK1381	新規設計非推奨	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-3P(N)
2SK1382	新規設計非推奨	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-3P(L)
2SK1486	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-3P(L)
2SK1489	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-3P(L)
2SK1529	生産終了予定	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-3P(N)
2SK1530	生産終了予定	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-3P(L)
2SK1544	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-3P(L)
2SK161	生産終了予定	高周波接合形FET	Mini
2SK170	生産終了予定	接合形FET (リードタイプ)	TO-92
2SK1825	生産終了予定	小信号MOSFET	Mini
2SK1826	生産終了予定	小信号MOSFET	S-Mini
2SK1827	生産終了予定	小信号MOSFET	USM
2SK184	生産終了予定	接合形FET (リードタイプ)	Mini
2SK1875	生産終了予定	高周波接合形FET	USM
2SK1930	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-220FL/SM
2SK210	生産終了予定	高周波接合形FET	S-Mini
2SK211	生産終了予定	高周波接合形FET	S-Mini
2SK2162	生産終了予定	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	PW-Mold/New PW-Mold
2SK2173	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-3P(N)
2SK2200	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TPS
2SK2201	新規設計非推奨	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	New PW-Mold
2SK2229	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TPS
2SK2231	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	New PW-Mold
2SK2232	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220NIS
2SK2233	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-3P(N)
2SK2266	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220FL/SM
2SK2267	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-3P(L)
2SK2311	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220FL/SM
2SK2312	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220NIS
2SK2313	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-3P(N)
2SK2314	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-220AB
2SK2350	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-220NIS
2SK2376	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220FL/SM
2SK2381	生産終了予定	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-220NIS
2SK2382	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-220NIS
2SK2385	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220NIS
2SK2391	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-220NIS
2SK2398	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-3P(N)
2SK2399	新規設計非推奨	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	New PW-Mold
2SK2401	生産終了予定	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-220FL/SM
2SK2417	生産終了予定	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-220NIS
2SK2466	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-220NIS
2SK246	生産終了予定	接合形FET (リードタイプ)	TO-92
2SK2507	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220NIS
2SK2508	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-220NIS
2SK2542	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220AB
2SK2543	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220NIS
2SK2544	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220AB
2SK2545	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220NIS
2SK2549	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	PW-Mini
2SK2598	生産終了予定	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-220FL/SM
2SK2599	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TPS
2SK2603	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-220AB
2SK2604	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-3P(N)
2SK2605	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-220NIS
2SK2606	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-3P(N)IS
2SK2608	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-220AB
2SK2610	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-3P(N)
2SK2611	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-3P(N)
2SK2614	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	DPAK
2SK2615	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	PW-Mini
2SK2661	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220AB
2SK2662	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220NIS
2SK2679	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220NIS
2SK2698	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-3P(N)
2SK2717	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-220NIS
2SK2718	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-220NIS
2SK2733	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-220AB
2SK2744	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-3P(N)
2SK2745	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-3P(N)
2SK2746	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-3P(N)
2SK2749	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-3P(N)
2SK2750	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220NIS
2SK2776	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220FL/SM
2SK2777	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220FL/SM
2SK2782	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	DPAK
2SK2789	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-220FL/SM
2SK2823	生産終了予定	小信号MOSFET	S-Mini
2SK2824	生産終了予定	小信号MOSFET	USM
2SK2825	生産終了予定	小信号MOSFET	SSM
2SK2835	生産終了予定	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TPS
2SK2837	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-3P(N)
2SK2838	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220FL/SM
2SK2841	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220AB
2SK2842	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220NIS
2SK2843	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220NIS
2SK2844	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	TO-220AB
2SK2846	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TPS
2SK2862	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220NIS
2SK2866	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220AB
2SK2882	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-220NIS
2SK2883	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-220FL/SM
2SK2884	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-220FL/SM
2SK2886	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220NIS
2SK2889	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220FL/SM
2SK2914	生産終了予定	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-220AB
2SK2915	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-3P(N)
2SK2920	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	New PW-Mold
2SK2949	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220FL/SM
2SK2952	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220NIS
2SK2953	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-3P(N)IS
2SK2961	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-92MOD
2SK2962	新規設計非推奨	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-92MOD
2SK2967	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-3P(N)
2SK2968	新規設計非推奨	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-3P(N)
2SK2972	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220NIS
2SK2989	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-92MOD
2SK2991	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220FL/SM
2SK2993	生産終了予定	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-220FL/SM
2SK2995	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-3P(N)IS
2SK2996	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220NIS
2SK2998	新規設計非推奨	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-92MOD
2SK302	生産終了予定	高周波MOSFET	S-Mini
2SK3051	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220FL/SM
2SK3067	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220NIS
2SK3068	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220FL/SM
2SK3084	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-220FL/SM
2SK3085	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220AB
2SK3089	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	TO-220FL/SM
2SK3090	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	TO-220FL/SM
2SK30ATM	生産終了予定	接合形FET (リードタイプ)	TO-92
2SK3117	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-3P(SM)
2SK3126	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220NIS
2SK3127	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	TO-220FL/SM
2SK3128	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	TO-3P(N)
2SK3130	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220NIS
2SK3176	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-3P(N)
2SK3205	新規設計非推奨	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	PW-Mold/New PW-Mold
2SK3265	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220NIS
2SK3302	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TPS
2SK3309	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220FL/SM
2SK330	生産終了予定	接合形FET (リードタイプ)	Mini
2SK3312	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220FL/SM
2SK3313	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220NIS
2SK3316	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220NIS
2SK3342	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	New PW-Mold
2SK3371	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	New PW-Mold
2SK3373	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	New PW-Mold
2SK3374	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TPS
2SK3376TK	生産終了予定	接合形FET (面実装タイプ)	TESM3
2SK3376TV	生産終了予定	接合形FET (面実装タイプ)	VESM2
2SK3387	新規設計非推奨	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TFP
2SK3388	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TFP
2SK3398	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TFP
2SK3399	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220FL/SM
2SK3403	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220FL/SM
2SK3407	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220NIS
2SK3417	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220FL/SM
2SK3437	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220FL/SM
2SK3441	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TFP
2SK3442	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TFP
2SK3443	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TFP
2SK3444	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TFP
2SK3445	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TFP
2SK3453	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-3P(N)IS
2SK3462	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	New PW-Mold
2SK3472	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	New PW-Mold
2SK3497	生産終了予定	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-3P(N)
2SK3498	新規設計非推奨	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	New PW-Mold
2SK3499	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TFP
2SK3543	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220NIS
2SK3582TK	生産終了予定	接合形FET (面実装タイプ)	TESM3
2SK3582TV	生産終了予定	接合形FET (面実装タイプ)	VESM2
2SK3625	生産終了予定	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-220FL/SM
2SK362	生産終了予定	接合形FET (リードタイプ)	TO-92
2SK363	生産終了予定	接合形FET (リードタイプ)	TO-92
2SK364	生産終了予定	接合形FET (リードタイプ)	TO-92
2SK3658	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	PW-Mini
2SK365	生産終了予定	接合形FET (リードタイプ)	Mini
2SK3662	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220NIS
2SK3669	新規設計非推奨	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	New PW-Mold
2SK366	生産終了予定	接合形FET (リードタイプ)	Mini
2SK3670	新規設計非推奨	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-92MOD
2SK369	生産終了予定	接合形FET (リードタイプ)	TO-92
2SK370	生産終了予定	接合形FET (リードタイプ)	Mini
2SK371	生産終了予定	接合形FET (リードタイプ)	Mini
2SK372	生産終了予定	接合形FET (リードタイプ)	Mini
2SK3754	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	TO-220NIS
2SK3757	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220SIS
2SK3766	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220SIS
2SK3844	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220NIS
2SK3845	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-3P(N)
2SK3846	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220NIS
2SK3847	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220FL/SM
2SK3857TK	生産終了予定	接合形FET (面実装タイプ)	TESM3
2SK3857TV	生産終了予定	接合形FET (面実装タイプ)	VESM2
2SK3869	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220SIS
2SK3903	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-3P(N)
2SK3904	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-3P(N)
2SK3905	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-3P(N)
2SK3907	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-3P(N)
2SK3911	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-3P(N)
2SK3935	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220SIS
2SK3994	生産終了予定	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-220NIS
2SK4002	新規設計非推奨	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	New PW-Mold2
2SK4003	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	New PW-Mold2
2SK4015	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220SIS
2SK4016	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220SIS
2SK4018	新規設計非推奨	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	New PW-Mold2
2SK4019	新規設計非推奨	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	New PW-Mold2
2SK4020	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	New PW-Mold2
2SK4021	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	New PW-Mold2
2SK4022	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	New PW-Mold2
2SK4023	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	New PW-Mold2
2SK4026	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	New PW-Mold2
2SK4059TK	生産終了予定	接合形FET (面実装タイプ)	TESM3
2SK4059TV	生産終了予定	接合形FET (面実装タイプ)	VESM2
2SK4103	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	New PW-Mold
2SK4104	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220NIS
2SK4105	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220NIS
2SK4106	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-220NIS
2SK4107	新規設計非推奨	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-3P(N)
2SK4108	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-3P(N)
2SK4110	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220NIS
2SK4111	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220NIS
2SK4112	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220NIS
2SK4113	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-220NIS
2SK4114	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-220NIS
2SK711	生産終了予定	高周波接合形FET	S-Mini
2SK982	生産終了予定	小信号MOSFET	TO-92
3SK195	生産終了予定	高周波MOSFET	SMQ
GT10G131	新規設計非推奨	ストロボフラッシュ用IGBT	SOP-8
GT10J303	生産終了予定	ディスクリートIGBT	TO-220NIS
GT10J321	生産終了予定	ディスクリートIGBT	TO-220NIS
GT15J321	新規設計非推奨	ディスクリートIGBT	TO-220NIS
GT20J321	新規設計非推奨	ディスクリートIGBT	TO-220NIS
GT30J122	新規設計非推奨	ディスクリートIGBT	TO-3P(N)IS
GT30J126	新規設計非推奨	ディスクリートIGBT	TO-3P(N)IS
GT30J322	新規設計非推奨	ソフトスイッチング用IGBT	TO-3P(N)IS
GT30J324	新規設計非推奨	ディスクリートIGBT	TO-3P(N)
GT35J321	新規設計非推奨	ソフトスイッチング用IGBT	TO-3P(N)IS
