品番	ライフサイクル	製品分類	パッケージ名(Toshiba)
2SA2182	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220SIS
2SA2183	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220SIS
2SA2190	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220SIS
2SA2219	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	MSTM
2SA2220	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPL
2SA562TM	生産終了予定	低周波増幅用トランジスタ	TO-92
2SA817A	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SA817	生産終了予定	低周波増幅用トランジスタ	TO-92
2SA940A	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SA949	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SA950	生産終了予定	低周波増幅用トランジスタ	TO-92
2SA965	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SA966	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SA970	生産終了予定	低周波増幅用トランジスタ	TO-92
2SB1015A	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SB1015	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220IS
2SB1016A	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SB1017	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220IS
2SB1018A	生産終了予定	低周波用バイポーラパワートランジスタ	DPAK
2SB1018	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220IS
2SB1020A	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SB1020	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220IS
2SB1067	新規設計非推奨	低周波用バイポーラパワートランジスタ	TO-126
2SB1375	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SB1381	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SB1411	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SB1457	新規設計非推奨	低周波用バイポーラパワートランジスタ	LSTM
2SB1481	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SB1495	新規設計非推奨	低周波用バイポーラパワートランジスタ	TO-220NIS
2SB1556	生産終了予定	低周波用バイポーラパワートランジスタ	TO-3P(L)
2SB1594	生産終了予定	低周波用バイポーラパワートランジスタ	TO-3P(L)
2SB1617	生産終了予定	低周波用バイポーラパワートランジスタ	TPS
2SB1640	生産終了予定	低周波用バイポーラパワートランジスタ	TPL
2SB1641	生産終了予定	低周波用バイポーラパワートランジスタ	TPL
2SB1642	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SB1667(SM)	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220SM
2SB1682	生産終了予定	低周波用バイポーラパワートランジスタ	TO-3P(N)
2SB553	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220AB
2SB595	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220AB
2SB673	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220AB
2SB753	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220AB
2SB834	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220AB
2SB905	生産終了予定	低周波用バイポーラパワートランジスタ	PW-Mold
2SB907	生産終了予定	低周波用バイポーラパワートランジスタ	PW-Mold
2SB908	生産終了予定	低周波用バイポーラパワートランジスタ	PW-Mold
2SC1627A	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC1627	生産終了予定	低周波増幅用トランジスタ	TO-92
2SC1815(L)	生産終了予定	低周波増幅用トランジスタ	TO-92
2SC1815	生産終了予定	低周波増幅用トランジスタ	TO-92
2SC1959	生産終了予定	低周波増幅用トランジスタ	TO-92
2SC2073A	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC2120	生産終了予定	低周波増幅用トランジスタ	TO-92
2SC2229	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC2230A	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC2230	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC2235	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC2236	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC2240	生産終了予定	低周波増幅用トランジスタ	TO-92
2SC2383	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC2458(L)	生産終了予定	低周波増幅用トランジスタ	Mini
2SC2458	生産終了予定	低周波増幅用トランジスタ	Mini
2SC2459	生産終了予定	低周波増幅用トランジスタ	Mini
2SC2500	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC2532	生産終了予定	低周波増幅用トランジスタ	S-Mini
2SC2551	生産終了予定	低周波増幅用トランジスタ	TO-92
2SC2655	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC2669	生産終了予定	高周波バイポーラトランジスタ	Mini
2SC2670	生産終了予定	高周波バイポーラトランジスタ	Mini
2SC2703	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC2705	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC2710	生産終了予定	低周波増幅用トランジスタ	Mini
2SC2715	生産終了予定	高周波バイポーラトランジスタ	S-Mini
2SC2716	生産終了予定	高周波バイポーラトランジスタ	S-Mini
2SC2873	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SC2878	生産終了予定	低周波増幅用トランジスタ	TO-92
2SC2880	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SC2882	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SC2883	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SC2884	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SC2982	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SC2983	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mold
2SC3072	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mold
2SC3074	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mold
2SC3075	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mold
2SC3112	生産終了予定	低周波増幅用トランジスタ	TO-92
2SC3113	生産終了予定	低周波増幅用トランジスタ	Mini
2SC3123	生産終了予定	高周波バイポーラトランジスタ	S-Mini
2SC3225	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC3233	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mold
2SC3266	生産終了予定	低周波増幅用トランジスタ	TO-92
2SC3267	生産終了予定	低周波増幅用トランジスタ	Mini
2SC3279	生産終了予定	低周波増幅用トランジスタ	TO-92
2SC3295	生産終了予定	低周波増幅用トランジスタ	S-Mini
2SC3307	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-3P(L)
2SC3327	生産終了予定	低周波増幅用トランジスタ	Mini
2SC3328	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC3334	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC3378	生産終了予定	低周波増幅用トランジスタ	Mini
2SC3405	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mold
2SC3419	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SC3420	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SC3421	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SC3422	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SC3423	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SC3425	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SC3437	生産終了予定	低周波増幅用トランジスタ	S-Mini
2SC3474	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mold
2SC3515	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SC3619	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SC3620	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SC3621	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SC3657	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-3P(N)
2SC3665	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	MSTM
