品番,ライフサイクル,極性,V<sub>DSS</sub>(V),V<sub>GSS</sub>(V),I<sub>D</sub>(A),P<sub>D</sub>(W),Ciss(pF),Qg(nC),R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.2V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.8V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=2.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=4V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=4.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=6V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=10V,ピン数,面実装区分,パッケージ名(Toshiba),
"SSM6L11TU","","N-ch + P-ch","-20","+/-12","-0.5","","","","","","","0.430","0.260","","","","6","Y","UF6",
"SSM6L12TU","","N-ch + P-ch","-20","+/-12","-0.5","","","","","","","0.430","0.260","","","","6","Y","UF6",
"SSM6L13TU","","N-ch + P-ch","-20","+/-8","-0.8","","","","","","0.46","0.306","0.234","","","","6","Y","UF6",
"SSM6L14FE","","N-ch + P-ch","-20","+/-8","-0.72","","","","","1.04","0.67","0.44","","0.3","","","6","Y","ES6",
"SSM6L16FE","","N-ch + P-ch","-20","+/-10","-0.1","","","","","45","","","","","","","6","Y","ES6",
"SSM6L35FE","","N-ch + P-ch","-20","+/-10","-0.1","","","","","22","","11","8","","","","6","Y","ES6",
"SSM6L35FU","","N-ch + P-ch","-20","+/-10","-0.1","","","","","22","","11","8","","","","6","Y","US6",
"SSM6L36FE","","N-ch + P-ch","-20","+/-8","-0.33","","","","","3.6","2.7","","","1.31","","","6","Y","ES6",
"SSM6L36TU","","N-ch + P-ch","-20","+/-8","-0.33","","","","","3.6","2.7","","","1.31","","","6","Y","UF6",
"SSM6L39TU","","N-ch + P-ch","-20","+/-8","-1.5","","","","","","0.43","0.294","0.213","","","","6","Y","UF6",
"SSM6L40TU","","N-ch + P-ch","-30","+/-20","-1.4","","","","","","","","0.403","","","0.226","6","Y","UF6",
"SSM6N09FU","","N-ch x 2","30","+/-20","0.4","","","","","","","","1.2","","","","6","Y","US6",
"SSM6N15AFE","","N-ch x 2","30","+/-20","0.1","","","","","","","6.0","3.6","","","","6","Y","ES6",
"SSM6N15AFU","","N-ch x 2","30","+/-20","0.1","","","","","","","6.0","3.6","","","","6","Y","US6",
"SSM6N15FU","","N-ch x 2","30","+/-20","0.1","","","","","","","7","","","","","6","Y","US6",
